epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4734.43,1.47294,2.78897,1.70785,0.36418,0.48122,0.46591,0.31294,1.33766,2.06405,1.42342,0.000128014,0.000128014,0.000128014
2,7814.29,1.40738,2.59448,1.68211,0.48475,0.37143,0.38463,0.23929,1.3592,2.15832,1.46726,0.000230738,0.000230738,0.000230738
3,10845.8,1.37758,2.4537,1.64859,0.55347,0.46789,0.53346,0.38766,1.19291,1.90196,1.37264,0.000307822,0.000307822,0.000307822
4,13888.6,1.31454,2.29479,1.59636,0.42594,0.70261,0.6091,0.41422,1.18863,1.6136,1.32879,0.000269615,0.000269615,0.000269615
5,16925.5,1.25316,2.06414,1.54006,0.52918,0.74125,0.71501,0.51533,1.12694,1.56667,1.2778,0.000231154,0.000231154,0.000231154
6,19970.4,1.17952,1.86125,1.48455,0.63481,0.77103,0.80639,0.61607,1.0788,1.2429,1.2291,0.000192692,0.000192692,0.000192692
7,23008.9,1.10734,1.63462,1.41905,0.6986,0.76592,0.85168,0.63171,0.98853,1.2,1.16014,0.000154231,0.000154231,0.000154231
8,26634.2,1.04579,1.4327,1.35831,0.68111,0.79023,0.90219,0.69543,0.92284,1.08791,1.14361,0.00011577,0.00011577,0.00011577
9,30645.2,0.98705,1.25598,1.31501,0.59318,0.95926,0.93977,0.72176,0.90375,0.92411,1.12845,7.7308e-05,7.7308e-05,7.7308e-05
10,35425.2,0.92396,1.1185,1.27704,0.77009,0.94597,0.93435,0.7276,0.86499,0.81123,1.09213,3.88465e-05,3.88465e-05,3.88465e-05
